Week,Geo,Brand,SKU,Sales_Units,Sales_Value,MRP,Net_Price,Feature_Flag,Display_Flag,TPR_Flag,Trade_Spend,TV_Impressions,YouTube_Impressions,Facebook_Impressions,Instagram_Impressions,Print_Readership,Radio_Listenership,FB_Banner_Content_Score,IG_Banner_Content_Score,Weighted_Distribution,Numeric_Distribution,TDP,NOS,CPI,GDP_Growth,Festival_Index,Rainfall_Index
2022-07-04,CENTRAL,BrandA,BrandA_SKU1,106.32794189453125,10551.1083984375,99.23175,99.23175,False,False,False,12108.9462890625,1097592.5,526732.4375,476584.7,153004.953125,78906.9375,795667.220703125,74.71402,77.99998,0.3267124,0.40684786,36.923183,3.0717528,120.954666,5.244440078735352,1.180806,5.3784504
2022-07-04,CENTRAL,BrandA,BrandA_SKU2,188.50331115722656,19452.41796875,103.194046,103.194046,False,False,False,12108.9462890625,487196.59375,225823.890625,231308.16,68295.59375,38550.91015625,539119.4375,74.71402,77.99998,0.3267124,0.40684786,36.923183,3.0717528,120.954666,5.244440078735352,1.180806,5.3784504
2022-07-04,CENTRAL,BrandA,BrandA_SKU3,209.2479248046875,19583.201171875,93.58851,93.58851,False,False,False,12108.9462890625,754271.375,389120.8125,251421.19,102966.28125,60067.80859375,649164.5,74.71402,77.99998,0.3267124,0.40684786,36.923183,3.0717528,120.954666,5.244440078735352,1.180806,5.3784504
2022-07-04,CENTRAL,BrandB,BrandB_SKU1,237.6982421875,19374.505859375,81.508835,81.508835,False,False,False,12108.9462890625,713662.25,312051.59375,333079.9,95718.3125,60377.19921875,667846.25,74.71402,77.99998,0.3267124,0.40684786,36.923183,3.0717528,120.954666,5.244440078735352,1.180806,5.3784504
2022-07-04,CENTRAL,BrandB,BrandB_SKU2,203.0751190185547,14667.0078125,72.22455,72.22455,False,False,False,12108.9462890625,751515.875,348206.84375,382071.7,107848.5390625,68700.46875,795667.220703125,74.71402,77.99998,0.3267124,0.40684786,36.923183,3.0717528,120.954666,5.244440078735352,1.180806,5.3784504
2022-07-04,CENTRAL,BrandB,BrandB_SKU3,83.4013671875,7194.4287109375,86.26272,86.26272,False,False,False,12108.9462890625,536257.75,303146.3125,237014.11,84330.671875,46322.08203125,571550.875,74.71402,77.99998,0.3267124,0.40684786,36.923183,3.0717528,120.954666,5.244440078735352,1.180806,5.3784504
2022-07-04,CENTRAL,BrandC,BrandC_SKU1,207.2481689453125,11625.7900390625,56.095985,56.095985,False,False,False,12108.9462890625,341150.46875,183049.171875,136217.27,50231.5625,25098.7265625,343202.90625,74.71402,77.99998,0.3267124,0.40684786,36.923183,3.0717528,120.954666,5.244440078735352,1.180806,5.3784504
2022-07-04,CENTRAL,BrandC,BrandC_SKU2,143.99391174316406,7982.3564453125,55.435375,55.435375,False,False,False,12108.9462890625,298134.78125,147982.5,124692.47,42065.74609375,25017.525390625,316621.6875,74.71402,77.99998,0.3267124,0.40684786,36.923183,3.0717528,120.954666,5.244440078735352,1.180806,5.3784504
2022-07-04,CENTRAL,BrandC,BrandC_SKU3,170.29782104492188,10521.1474609375,61.780865,61.780865,False,False,False,12108.9462890625,436399.03125,204866.390625,174986.22,58471.8984375,34077.25390625,462249.53125,74.71402,77.99998,0.3267124,0.40684786,36.923183,3.0717528,120.954666,5.244440078735352,1.180806,5.3784504
2022-07-04,EAST,BrandA,BrandA_SKU1,174.81649780273438,18750.328125,107.2572,107.2572,False,False,False,12934.255859375,1122994.625,466224.25,209978.81,114242.7265625,128499.4140625,795667.220703125,71.74395,83.212105,0.36293516,0.4094983,36.82493,3.7777483,119.58449,5.0881266593933105,0.94133735,3.7571158
2022-07-04,EAST,BrandA,BrandA_SKU2,214.1361846923828,21339.423828125,99.65352,99.65352,False,False,False,12934.255859375,846034.375,324110.03125,171941.55,82016.15625,86537.2578125,795667.220703125,71.74395,83.212105,0.36293516,0.4094983,36.82493,3.7777483,119.58449,5.0881266593933105,0.94133735,3.7571158
2022-07-04,EAST,BrandA,BrandA_SKU3,128.08404541015625,12070.345703125,94.23771,94.23771,False,False,False,12934.255859375,829532.5,312356.65625,151519.47,77623.28125,78584.203125,795667.220703125,71.74395,83.212105,0.36293516,0.4094983,36.82493,3.7777483,119.58449,5.0881266593933105,0.94133735,3.7571158
2022-07-04,EAST,BrandB,BrandB_SKU1,172.37147521972656,14894.8955078125,86.4116,86.4116,False,False,False,12934.255859375,664992.5,284925.28125,124438.125,69428.8671875,74788.59375,795667.220703125,71.74395,83.212105,0.36293516,0.4094983,36.82493,3.7777483,119.58449,5.0881266593933105,0.94133735,3.7571158
2022-07-04,EAST,BrandB,BrandB_SKU2,116.0727767944336,9740.5732421875,83.91781,83.91781,False,False,False,12934.255859375,851857.6875,397163.71875,179577.36,97390.4765625,89179.984375,795667.220703125,71.74395,83.212105,0.36293516,0.4094983,36.82493,3.7777483,119.58449,5.0881266593933105,0.94133735,3.7571158
2022-07-04,EAST,BrandB,BrandB_SKU3,168.9575653076172,12130.5078125,71.79618,71.79618,False,False,False,12934.255859375,569237.4375,278375.78125,105251.445,66200.296875,61873.11328125,620189.3125,71.74395,83.212105,0.36293516,0.4094983,36.82493,3.7777483,119.58449,5.0881266593933105,0.94133735,3.7571158
2022-07-04,EAST,BrandC,BrandC_SKU1,264.279052734375,16666.0390625,63.06228,63.06228,False,False,False,12934.255859375,447045.03125,188252.09375,89398.234,46590.2421875,51193.15625,549144.375,71.74395,83.212105,0.36293516,0.4094983,36.82493,3.7777483,119.58449,5.0881266593933105,0.94133735,3.7571158
2022-07-04,EAST,BrandC,BrandC_SKU2,180.06886291503906,11441.1611328125,63.537697,63.537697,False,False,False,12934.255859375,324657.40625,140584.71875,66200.48,34736.98828125,35428.84375,366381.6875,71.74395,83.212105,0.36293516,0.4094983,36.82493,3.7777483,119.58449,5.0881266593933105,0.94133735,3.7571158
2022-07-04,EAST,BrandC,BrandC_SKU3,86.76415252685547,5024.37744140625,57.90845,57.90845,False,False,False,12934.255859375,430606.5625,170707.546875,93591.17,43500.625,46667.34375,496213.46875,71.74395,83.212105,0.36293516,0.4094983,36.82493,3.7777483,119.58449,5.0881266593933105,0.94133735,3.7571158
